processor,OBJECTID,V,H,dimensions_km,grid_code,xmin,ymin,xmax,ymax,centroid_latitude_dd,centroid_longitude_dd,Shape_Length,Shape_Area,dist_full,dist_boreal,dist_south,dist_temp
1,40,4,43,50x50,AK050H043V004,-99995,2200005,-49995,2250005,69.99165037,-155.93061,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,41,4,44,50x50,AK050H044V004,-49995,2200005,5.000000004,2250005,70.00048418,-154.643612,2e+05,2.5e+09,TRUE,FALSE,FALSE,FALSE
1,42,4,45,50x50,AK050H045V004,5.000000004,2200005,50005,2250005,70.0004833,-153.3561305,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,43,4,46,50x50,AK050H046V004,50005,2200005,100005,2250005,69.99164772,-152.0691328,2e+05,2.5e+09,TRUE,FALSE,FALSE,FALSE
1,44,4,47,50x50,AK050H047V004,100005,2200005,150005,2250005,69.97398864,-150.7835839,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,45,4,48,50x50,AK050H048V004,150005,2200005,200005,2250005,69.94752834,-149.5004426,2e+05,2.5e+09,TRUE,FALSE,FALSE,FALSE
1,46,4,49,50x50,AK050H049V004,200005,2200005,250005,2250005,69.91230005,-148.2206566,2e+05,2.5e+09,TRUE,FALSE,FALSE,FALSE
1,47,4,50,50x50,AK050H050V004,250005,2200005,300005,2250005,69.86834775,-146.945159,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,48,4,51,50x50,AK050H051V004,300005,2200005,350005,2250005,69.81572589,-145.6748638,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,49,4,52,50x50,AK050H052V004,350005,2200005,400005,2250005,69.75449901,-144.4106625,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,50,4,53,50x50,AK050H053V004,400005,2200005,450005,2250005,69.68474135,-143.1534202,2e+05,2.5e+09,TRUE,FALSE,FALSE,FALSE
1,51,4,54,50x50,AK050H054V004,450005,2200005,500005,2250005,69.60653642,-141.903973,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,52,4,55,50x50,AK050H055V004,500005,2200005,550005,2250005,69.51997643,-140.6631241,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,53,4,56,50x50,AK050H056V004,550005,2200005,600005,2250005,69.42516182,-139.4316421,2e+05,2.5e+09,TRUE,TRUE,FALSE,FALSE
1,54,4,57,50x50,AK050H057V004,600005,2200005,650005,2250005,69.32220063,-138.2102581,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,55,4,58,50x50,AK050H058V004,650005,2200005,700005,2250005,69.21120793,-136.9996641,2e+05,2.5e+09,TRUE,TRUE,FALSE,FALSE
1,59,5,37,50x50,AK050H037V005,-399995,2150005,-349995,2200005,69.30441642,-163.4091697,2e+05,2.5e+09,TRUE,FALSE,FALSE,FALSE
